"","SubjectID","CI_group","age.mri","StructuralMRI.ID"
"1","1","EAC",21.61,"ta6966"
"2","1002","EAC",18.95,"tb5762"
"3","1005","UPC",17.88,"tb5868"
"5","1010","UGC",23.53,"tb5985"
"6","1012","EAC",25.03,"tb6082"
"7","1016","EAC",21.36,"tb6301"
"8","1018","UGC",23.84,"tb6162"
"9","1024","UGC",24.32,"tb6366"
"10","1035","UGC",17.57,"tb6843"
"11","1036","UGC",21.92,"tb6813"
"12","1038","UGC",20.62,"tb6631"
"14","1044","UGC",16.68,"tb6899"
"15","1046","UGC",24.66,"tb6930"
"16","1048","UPC",21.68,"tb7153"
"17","1050","EAC",19.65,"tb7065"
"18","1058","UGC",17.63,"tb7376"
"21","1083","EAC",17.28,"tb8403"
"22","1085","UGC",18.83,"tb8503"
"24","1092","UGC",18.04,"tb8704"
"25","1094","EAC",19.79,"tb8561"
"27","1097","EAC",18.93,"tb8632"
"28","1098","EAC",19.18,"tb8965"
"30","110","UGC",18,"ta7484"
"31","1106","EAC",19.36,"tb0027"
"32","1108","UGC",16.47,"tb9148"
"33","1118","UGC",21.83,"tb9027"
"34","1119","UPC",19.17,"tb9292"
"35","112","UGC",23.66,"ta7508"
"36","1126","UGC",23.56,"tb9149"
"37","1128","EAC",18.61,"tb9354"
"38","1129","UGC",22.85,"tb9369"
"39","113","UPC",19.68,"ta7521"
"40","1140","UGC",20.43,"tb9405"
"41","1142","EAC",22.18,"tb9425"
"44","1161","EAC",21.68,"tb9660"
"45","1163","UGC",22.05,"tb9639"
"46","1178","EAC",22.87,"tb0094"
"47","1179","EAC",21.04,"tb0349"
"49","1180","UPC",18.68,"tb0170"
"50","1183","UGC",16.74,"tb0137"
"51","1185","EAC",23.86,"tb0275"
"54","12","UGC",21.06,"ta6754"
"55","1201","UGC",25.26,"tb1147"
"58","124","UGC",20.68,"ta8106"
"65","154","UPC",16.82,"ta8155"
"68","165","UGC",23.97,"ta8121"
"70","167","UPC",24.69,"ta8064"
"72","169","UGC",20.62,"ta8378"
"74","172","EAC",24.1,"ta8412"
"76","177","UPC",24.21,"ta8438"
"77","178","UGC",20.18,"ta8566"
"79","181","UGC",17.35,"ta8656"
"81","184","EAC",21.83,"ta8915"
"82","185","UGC",20.63,"ta8864"
"83","186","UGC",18.69,"ta8597"
"85","189","UGC",22.93,"ta8653"
"87","203","UGC",20.95,"ta8895"
"89","21","UPC",20.32,"ta7161"
"90","214","UGC",20.62,"ta8938"
"94","221","EAC",18.05,"ta9088"
"103","24","UPC",24.86,"ta6957"
"135","34","UPC",19.35,"ta6679"
"138","37","UPC",22.46,"ta7221"
"141","4007","UGC",16.83333333,"tb7522"
"142","4013","EAC",15,"tb7457"
"143","4021","UGC",18.25,"tb8082"
"144","4026","UPC",17,"tb8102"
"145","4030","EAC",17,"tb8247"
"147","4036","UPC",15.5,"tb0247"
"148","4038","EAC",19.16666667,"tb9518"
"149","4040","UPC",15.75,"tb9363"
"151","4047","EAC",16.66666667,"tb8898"
"152","4048","UPC",18.5,"tb9404"
"153","4059","UPC",18.75,"tb9122"
"154","4060","EAC",18.75,"tb9317"
"156","4071","EAC",16.91666667,"tb9366"
"157","4081","EAC",18.33333333,"tb9489"
"159","4084","EAC",18.41666667,"tb9613"
"160","4091","EAC",16.5,"tb0322"
"166","4123","UPC",16.33333333,"tb0511"
"190","42","UPC",21.1,"ta6618"
"196","43","UPC",19.21,"ta6943"
"197","50","UPC",18.94,"ta7019"
"203","83","EAC",23.58,"ta6811"
"205","88","UPC",22.72,"ta7207"
"207","90","EAC",20.5,"ta7036"
"208","94","UPC",22.14,"ta7329"
"209","95","UPC",23.33,"ta7290"
"210","98","EAC",22.22,"ta7389"
