"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","wj3.rcomp.raw","wj3.rcomp.t","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2","Pred","stdPred","resid","CI_group"
"395","4123",16.25,-3.600435414,108,-0.526210186,65.33333333,-0.101601071,66,-0.357666301,26,-0.636451412,196,-0.180246438,24,0.919173977,32,-1.126291415,-0.405482242514365,-0.124290290821666,-0.151784832374314,-1.00200112417833,-0.16954607285016,-0.206427370634625,-0.95674534214984,-0.168439024855367,-0.205250099895862,-0.957852390144632,"UPC"
"396","4124",14.25,-5.600435414,110.6666667,-0.38238952,77.33333333,0.605281744,65,-0.517363198,28,-0.06006099,206,0.45503442,23,0.616530895,35,-0.502320313,-0.0886329910252228,0.214039863892579,0.261388115259702,-0.716360176892578,0.213217651078547,0.259598811967823,-0.715537964078547,0.216415273881124,0.262300863099961,-0.718735586881125,"UPC"
"397","4125",18.59,-1.260435414,117.3333333,-0.022837862,62.66666667,-0.252015989,66,-0.357666301,29,0.283170289,175,-1.185012116,19,-0.452727525,30,-1.519325758,-0.0873374657746352,-0.730121026889784,-0.891632781192136,-0.789204731110215,-0.718066986342073,-0.874267846133438,-0.801258771657926,-0.718597067675791,-0.873624920094268,-0.800728690324209,"UPC"
"398","4126",18.25,-1.600435414,136.576657,1.015007488,94.83488569,1.717265668,67,-0.191012637,31,1.09549979,211,0.816966741,17,-0.903974275,32,-1.126291415,0.90919007720701,0.509242537188083,0.621893251959566,-1.63553395218808,0.441320646362488,0.537320971845645,-1.56761206136249,0.441060738930446,0.535217662681743,-1.56735215393045,"UPC"
"400","4132",15.84,-4.010435414,116,-0.094748193,58.66666667,-0.472834433,68,-0.017208171,29,0.283170289,167,-1.469844157,25,1.236134677,35,-0.502320313,-0.0754051270241866,-0.665983145401754,-0.813306811188685,0.163662832401754,-0.971639369223777,-1.1829997405639,0.469319056223778,-0.973681252004544,-1.1835210455097,0.471360939004544,"EPC"
"401","4134",16.09,-3.760435414,98.66666667,-1.029582512,68,0.051303916,68,-0.017208171,30,0.667255005,204,0.318808273,24,0.919173977,35,-0.502320313,-0.0820579405349355,0.220673935992833,0.269489725731857,-0.722994248992832,0.209387706210433,0.254935740535281,-0.711708019210432,0.212122424165168,0.25708557506685,-0.714442737165169,"UPC"
"402","4138",14.84,-5.010435414,108,-0.526210186,72,0.285205615,65,-0.517363198,27,-0.365597421,202,0.187284574,21,0.053831952,34,-0.714855583,-0.280991297519834,-0.0526565016161422,-0.0643047676392101,-0.662199081383857,-0.0589902059674515,-0.0718223247885112,-0.655865377032548,-0.0553287910286499,-0.0678349822162892,-0.65952679197135,"UPC"
"403","4142",16.34,-3.510435414,112,-0.31047919,77.33333333,0.605281744,73,0.966039424,30,0.667255005,216,1.210976399,19,-0.452727525,34,-0.714855583,0.482024245713,0.635601066602125,0.776203842751552,-1.35045664960212,0.558691361656279,0.680223297688499,-1.27354694465628,0.562361461274076,0.682583223440844,-1.27721704427408,"UPC"
"407","4151",15.34,-4.510435414,105.3333333,-0.670030853,64,-0.177123521,63,-0.816650502,28,-0.06006099,172,-1.297438923,13,-1.64421882,32,-1.126291415,-0.430966466521638,-1.11467333921676,-1.36125279640423,-0.0116180757832424,-0.884414199714521,-1.07680051051141,-0.241877215285479,-0.885341932618978,-1.07619956310787,-0.240949482381022,"EPC"
"408","4155",15.25,-4.600435414,126.6666667,0.480534467,76,0.524401914,67,-0.191012637,29,0.283170289,190,-0.509606741,20,-0.20641511,39,0.392552867,0.274273508222643,-0.298052724269948,-0.363985654014124,0.690605591269949,-0.334247197891899,-0.406955873664412,0.7268000648919,-0.333851150749194,-0.406205627758624,0.726404017749194,"UGC"
"413","4162",18.84,-1.010435414,122.6666667,0.26480347,76,0.524401914,71,0.549087282,29,0.283170289,213,0.97061074,24,0.919173977,38,0.162183131,0.405365738720967,0.737435605004369,0.900565433985245,-0.575252474004368,0.757493432430343,0.922270713220372,-0.595310301430342,0.761471016308732,0.924477011567306,-0.599287885308733,"UPC"
"417","4172",13.84,-6.010435414,116,-0.094748193,72,0.285205615,66,-0.357666301,27,-0.365597421,172,-1.297438923,17,-0.903974275,33,-0.922856738,-0.133201575018761,-0.9471801308072,-1.15670802951608,0.0243233928072001,-0.825572535068108,-1.00515903918366,-0.0972842029318919,-0.827881624370758,-1.00639230736539,-0.0949751136292415,"EPC"
"419","4174",15.25,-4.600435414,105.3333333,-0.670030853,66.66666667,-0.025456162,72,0.753484457,30,0.667255005,211,0.816966741,22,0.328114835,39,0.392552867,0.181313111715467,0.448667281300868,0.547918004173142,-0.0561144143008668,0.440731927914796,0.536604189680425,-0.048179060914795,0.444897284482813,0.539878596893667,-0.0523444174828135,"EAC"
"420","4177",14.5,-5.350435414,126.6666667,0.480534467,73.33333333,0.364357844,74,1.18696091,30,0.667255005,188,-0.611425129,18,-0.685210621,36,-0.285282158,0.674777056466308,-0.327217369325099,-0.39960187738716,0.0419352113251007,-0.31284447920431,-0.380897429084254,0.0275623212043109,-0.314096411054816,-0.382206032072252,0.0288142530548158,"EAC"
"422","4179",16.34,-3.510435414,121.3333333,0.192893134,77.33333333,0.605281744,69,0.163943594,29,0.283170289,207,0.524948415,21,0.053831952,43,1.357650474,0.31132219022087,0.30824268119462,0.376429754787774,1.04940779280538,0.271650464909907,0.330742495306059,1.08600000909009,0.274706181843929,0.333117196037873,1.08294429215607,"UGC"
"426","4183",17.25,-2.600435414,104,-0.741941183,66.66666667,-0.025456162,67,-0.191012637,29,0.283170289,197,-0.121723812,24,0.919173977,37,-0.063771287,-0.168809923278192,-0.0133151301674062,-0.0162606007834125,-0.0504561568325932,-0.0604328857370691,-0.0735788301826272,-0.00333840126293017,-0.0584545968077003,-0.0716324544205261,-0.00531669019229968,"EAC"
