"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"37","1054",18.42,3.246085409,78.67,0.725375752,40,-0.593468235,64,0.965801985,25,0.304076256,203,0.401106703,20,1.939406956,76,0.817785013,34,0.385124145,0.35044644,0.405755668,-0.387263581959409,0.809233161552245,0.905200167192471,0.00855185144775588,"EAC"
"38","1055",16,0.626085409,113.33,0.509314477,70.67,-0.737758241,60,0.965801985,23,0.304076256,194,0.935398336,18,0.904086171,70.94339623,1.474234252,36,0.14476127,0.260358619,0.301449733,-0.416079970496848,0.824829211421502,0.922645753483602,0.649405040578499,"UGC"
"41","106",22.65,-0.093914591,121.33,1.549109364,69.33,1.342272337,69,1.663562087,31,0.682542295,193,1.820803717,16,0.013034742,73.75471698,1.393505539,35,0.63160695,1.309371521,1.516023153,-0.393091557098849,1.44531378834564,1.61671363091347,-0.0518082493456337,"EAC"
"42","1061",22.92,1.286085409,138.67,0.077191927,72,-0.371433657,75,0.1561256,29,-0.339824306,215,0.547028348,26,0.294292934,46,0.021240794,44,0.385124145,-0.119485109,-0.138342853,-0.192945932487973,0.435452185523848,0.487092484416961,-0.414211391523847,"UPC"
"45","1068",17.75,1.086085409,105.33,0.293253202,50.67,0.090023366,59,-0.368379615,24,-1.41322975,152,-0.482794231,20,0.294292934,52,0.459468012,34,-0.089482551,-0.349583199,-0.404756187,-1.33745313457061,-0.259895464517001,-0.29071648213646,0.719363476517001,"UGC"
"46","1070",23.75,4.766085409,70.67,-0.787053173,30.67,0.410299723,59,0.965801985,23,1.567141763,181,1.017253918,25,0.591254207,63.64150943,0.57602551,33,1.40778337,0.539047575,0.624122787,-1.0734509220383,1.00982015259367,1.12957478066363,-0.433794642593673,"UPC"
"48","1074",24.08,1.816085409,155.22,-1.074954822,94.91,-2.463626105,76,-1.963638924,30,-2.187652688,218,-1.02798239,26,-2.207588062,86,-1.113937277,47,-0.539616645,-1.922468135,-2.225881774,1.96776841516552,-1.42951367912686,-1.59903978590302,0.315576402126864,"EPC"
"51","1083",17.25,0.856085409,122.67,-0.210709722,69.33,0.573339531,73,0.750905434,26,0.682542295,212,1.10054546,24,1.232951274,78,0.943056631,40,0.385124145,0.449019385,0.519885893,0.456967965248132,1.00678493915766,1.12617962109733,-0.0637283081576558,"EAC"
"56","1093",19.17,1.326085409,128,1.255806183,80,0.656333036,76,0.965801985,31,1.102549013,223,0.473411677,24,0.591254207,90,0.234823476,44,0.63160695,0.995122554,1.152177826,1.81278645091043,0.718019881253779,0.803169898907637,-0.483196405253779,"UPC"
"57","1094",19.75,1.706085409,137.33,0.725375752,82.67,0.861870673,72,-0.528591259,31,-0.851164447,204,-0.312486205,21,0.013034742,80,0.021240794,39,0.385124145,0.05187268,0.060059488,0.445450146116584,-0.0600320284864664,-0.0671512301052019,0.081272822486467,"EAC"
