"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"48","1074",24.08,1.816085409,155.22,-1.074954822,94.91,-2.463626105,76,-1.963638924,30,-2.187652688,218,-1.02798239,26,-2.207588062,86,-1.113937277,47,-0.539616645,-1.922468135,-2.225881774,1.96776841516552,-1.37323500780222,-1.54108952204053,0.259297730802225,"EPC"
"51","1083",17.25,0.856085409,122.67,-0.210709722,69.33,0.573339531,73,0.750905434,26,0.682542295,212,1.10054546,24,1.232951274,78,0.943056631,40,0.385124145,0.449019385,0.519885893,0.456967965248132,0.97995342341083,1.09973598421159,-0.0368967924108286,"EAC"
"52","1085",18.75,1.026085409,110.67,0.941437028,57.33,0.767457027,66,0.965801985,28,1.102549013,199,0.935398336,22,0.294292934,80,0.817785013,40,0.884210536,0.944311263,1.09334724,0.575448749820654,0.878829830660998,0.986251760221951,-0.0610448176609975,"EAC"
"58","1095",18.5,1.916085409,93.33,0.941437028,61.33,0.347785989,64,0.346288694,26,1.102549013,190,0.260363295,20,0.904086171,64,0.57602551,33,0.63160695,0.684515181,0.792548827,-1.05949304695765,0.52568411884091,0.58994001959466,0.0503413911590903,"EAC"
"59","1096",18.25,-2.543914591,122.67,0.437474103,73.33,1.063679019,61,0.5444753,28,0.682542295,159,-0.370349867,18,-0.958524173,65,-0.810460226,34,-0.755508785,0.682042679,0.789686102,-0.909099907753177,-0.265774418972164,-0.298260800226786,-0.544685807027836,"UPC"
"61","1098",18.92,-0.533914591,128,0.221412828,74.67,0.491533654,73,1.189390714,32,1.567141763,209,1.017253918,24,0.591254207,80,0.817785013,40,0.884210536,0.86736974,1.004262416,0.575448749820654,0.900544273742623,1.0106204229195,-0.0827592607426225,"EAC"
"62","1099",17.5,-2.663914591,109.33,1.737082673,60,1.229524939,60,0.346288694,27,0.304076256,145,0.698266199,18,0.013034742,67,0.57602551,32,0.385124145,0.904243141,1.046955364,-1.04396865340011,0.566972519534013,0.636275221746957,0.00905299046598734,"EAC"
"63","11",19.05,-0.813914591,148.57,1.013277401,81.33,0.573339531,74,1.421900249,31,0.682542295,214,1.917861794,26,2.317299631,84.35849057,1.758364907,41,1.678754225,0.922764869,1.068400285,0.987793712996983,1.69410170935676,1.90117669493276,0.0642631976432436,"EAC"
"64","110",17.96,2.266085409,129.33,0.077191927,76,-0.44592234,71,0.346288694,30,-1.782380296,204,0.401106703,18,-0.738283726,78,1.071302565,43,-0.317608215,-0.451205504,-0.522417037,0.866334659936123,0.0887173831318683,0.0995615672200184,0.982585181868134,"UGC"
"69","1108",16.25,2.496085409,100,0.509314477,77.33,0.248971844,68,0.965801985,30,1.567141763,214,0.935398336,25,-0.738283726,89,0.817785013,44,0.63160695,0.822807517,0.952667159,1.73702890938847,0.744981496722778,0.836042754625577,0.0728035162772237,"EAC"
"70","111",23.55,-4.733914591,137.33,-0.138869348,70.67,-0.665955136,73,-1.350555732,28,-1.41322975,211,-0.694976298,17,-0.252693548,83.26415094,0.234823476,40,-0.539616645,-0.892152492,-1.032956507,0.781731374585811,-0.835369517722078,-0.9374791667048,1.07019299372208,"UGC"
